"Review","annotation_id","annotator","created_at","id","lead_time","sentiment","updated_at"
"Пользовался айфоном четыре года ,отличный телефон , не жалуюсь )). LG никогда не воспринимал как телефон , но когда этот аппарат попал мне в руки , я полностью пересмотрел свое мнение. Супер цена-качество !",33,"1","2024-05-27T17:46:14.593371Z",68,5.592,"positive","2024-05-27T17:46:14.593371Z"
"Смартфон понравился, подробности написал выше.Вот что касаемо перезагрузок, у меня их не было с ""коробки"". Дело в том, что нужно обновить смартфон до последней версии Android, в ней эту ошибку исправили. Всё-таки перезагрузки вызваны программным сбоем. Многие написали на форуме 4пда, что им помогло обновление. Так что, пробуйте. Сам же проблем никаких с аппаратом не испытываю. Все устраивает.",34,"1","2024-05-27T17:46:27.357750Z",69,10.484,"neutral","2024-05-27T17:46:27.357750Z"
"Пользуюсь телефоном более 2-х лет, телефон как ""пластилин"",т.е. тот кто заморачиваеться программами, прошивками и играми телефон для вас! Ставил множество прошивок и вернулся к родной и самой стабильной 2.3.Игрушки тянет на раз-два, аккумулятор стандартный для смартфона нового поколения.Удивляюсь отзывам о камере))) люди не путайте телефон с цифровой камерой!!!!! Быстрый отклик экрана, ""глотает"" всё, его не напугать замороченными программами и тяжёлыми играми.Одна беда - зависает, но при эксплуатации на все 100% в режиме non-stop!)))",35,"1","2024-05-27T17:46:36.681933Z",70,6.82,"positive","2024-05-27T17:46:36.681933Z"
"Великолепный телефон,есть абсолютно все за 10 тысяч рублей!!!а hdmi отдельный кайф можно взять с собой куда угодно и подключить к ноуту или телеку( он в комплекте)не слушайте всех подряд кто говорит лыжи отстой,я тоже честно говоря  попал под такое мнение  но друг купил я попользовался и понял что все сделано с умом.А стоит столько сколько должно стоить.",36,"1","2024-05-27T17:46:44.416556Z",71,4.62,"positive","2024-05-27T17:46:44.417567Z"
"ХТЦ сами себе копают яму.",37,"1","2024-05-27T17:46:53.746468Z",72,7.234,"negative","2024-05-27T17:46:53.747456Z"
"Взял из-за бренда. Долгое время пользуюсь Sony Ericsson. Но за 260уе хотелось бы более уверенную работу двух симкарт. Камера не удивила совершенно. У SE K850i те же 5мп были гораздо внушительнее.",38,"1","2024-05-27T17:47:08.107521Z",73,11.766,"neutral","2024-05-27T17:47:08.107521Z"
"На Windows Phone перешел не сразу. Сначала были комуникаторы на Windows Mobile и Windows CE. Но систему не развивали и я перешел на Apple.  Нам с IPhone было хорошо. Но закрытость системы утомила,  перебрался на андроид. Хорошая система, но то батарею разрядит неожиданно,  то слетит что нибудь, то настройки собьются и конечно перезагрузки без причин. Решился, купил Lumia 535.  Через неделю все настроил под себя, так все и работает. Все-же логика Windows легче воспринимается,  она такая как и на работе , как и дома в ноуте. Как действовать с разными программами, где искать файлы и как слушать музыку папками, сразу после загрузки. Не вызывает трудностей. Использовать новый 640XL оказалось удобно в руке держится отлично! Оптика камеры хороша! Фото отличные. Батарея держит отлично. Греется не сильно,  привык уже за два дня. Переехал быстро, все приложения установились без проблем. Прогресс в играх сохранился! И фото и видео на месте. Цена в 12 000 приемлема. С каждым днем Microsoft телефонов вокруг меня все больше и больше. Это заметно. Удобство использования, интуитивно понятная система. Я доволен. Всем советую!",39,"1","2024-05-27T17:47:22.055436Z",74,11.759,"positive","2024-05-27T17:47:22.055436Z"
"Стоит брать, свои деньги отрабатывает.опять же оговорюсь что телефон людям БЕЗпантов",40,"1","2024-05-27T17:47:30.193967Z",75,5.228,"positive","2024-05-27T17:47:30.193967Z"
"Все таки Сони делает качественно",41,"1","2024-05-27T17:47:41.080980Z",76,8.966,"neutral","2024-05-27T17:47:41.080980Z"
"После голого Android'a оболочка EMUI кажется непонятной, но это дело привычки.Как оказалось, челка это не совсем фу, тк её можно скрыть и получается очень даже удобно.Я в целом доволен обновкой.",42,"1","2024-05-27T17:47:51.041307Z",77,8.101,"positive","2024-05-27T17:47:51.041307Z"
"Шикарный дизайн. По железу никаких претензий, 8 ядер в паре с гигом оперативки работают без тормозов. Очень доволен звучанием динамиков. Две камеры 13 и 5 МП делают достаточно четкие снимки. Радует их расположение на передней части корпуса - когда смотришь видео, звук направлен на тебя! Из недостатков - отсутствие 4G. Но для меня наличие двух сим-карт критичнее. Для тех же, кому нужен LTE, есть версия на одну сим. Замечательный аппарат за свои деньги.",43,"1","2024-05-27T17:47:57.527883Z",78,4.362,"positive","2024-05-27T17:47:57.527883Z"
"Второй и последний раз, когда приобретаю устройство на базе WP.
 Добротный смартфон, отличный экран и хорошие внутренние характеристики напрочь испорчены одним огромным недостатком - он на операционной системе WP.
 Самое интересное, что полноценно пользоваться предустановленным офисом без наката 10 - у вас врядли получится. Более того, даже созданные на 8.1 файлики могут странным образом отказать в редактировании. После того, как вы обновите свой смартфон с 8.1 до 10 вы с удивлением обнаружите, что батарея стала заметно меньше держать заряд - даже без активного использования прожить смартфон на ""десятке"" больше суток без зарядки не сможет.
 Откровенная бедность магазина приложений. Да, есть куча наиболее популярных программ для соцсетей и... и всё. Найти какой-нибудь аналог андроидовскому MX Player (медиаплеер видеофайлов) так и не удалось и не удивлюсь, если не появится в ближайшие полгода-год. Иначе говоря кроме стандартных видеоформатов вы мало что сможете посмотреть на этом шикарном экране. Стандартный аудиоплеер - эквалайзер вы сможете отыскать в бог знает каком подменю специальных настроек. Если найдете вообще... Аналога офиса нет и не предвидится даже его появление (отсюда следствие - если вы хотели на смартфоне редактировать файлы офиса - обновитесь до десятки и скажите ""Good Bye"" долгоиграющей батарее.)
Если вам звонят во время прослушивания музыки в наушниках, то есть огромная вероятность, что смартфон уйдёт в не очевидную перезагрузку в ближайшую минуту.
 P.S. Не ведитесь на отзывы с оценкой ""5"" с отсутствующими недостатками и надписями, что ""ПРИЛОЖЕНИЯ ЕСТЬ!"". Это промытые культисты или, правильнее сказать, сектанты Windows Phone, которые в упор не видят и не хотят признавать ущербность и малочисленность приложений на этой ОС. Я честно старался отыскать годные и полезные приложения для воспроизведения видео и музыки - их нет. Даже тот же Steam вышел только буквально в августе этого года. Майкам наплевать на пользователей. Жду минусов обзора от сектантов.",44,"1","2024-05-27T17:48:28.362488Z",79,34.634,"neutral","2024-05-27T17:48:28.362488Z"
"Сначала написал плохой отзыв, но когда произвел сброс настроек - все заработало просто отлично. Поэтому пересмотрел оценку. Короче достойный аппарат - настоящий флагман.",45,"1","2024-05-27T17:48:37.931150Z",80,7.117,"positive","2024-05-27T17:48:37.931150Z"
"Был экран LG, начал зеленеть примерно через 2 недели. Позвонил на горячую линию, там сразу был пункт ""ДЛЯ ВЛАДЕЛЬЦЕВ МАТЕ 20 ПРО, ПРОБЛЕМА С ЗЕЛЕНЕЮЩИМ ЭКРАНОМ"". Там объяснили что нужно подъехать в ближайший сервис центр для замены экрана. Коробку и чеки не спрашивали, спросили только паспорт. заменили за 1.5 часа без каких либо следов.",46,"1","2024-05-27T17:48:52.931070Z",81,6.137,"negative","2024-05-27T17:48:52.931070Z"
"Очень непривычно после айфона, что не надо с собой носить розетку и удлинитель. При моём использовании, батареи хватает на 2-3 дня, что очень радует. Достаточно зарядить до 100% и 1 день можно не переживать даже при очень активном использовании. 

В целом, телефоном вполне доволен, учитывая что я его брал за 13000 + 1500 карта памяти на 32 гб. 
Рекомендую, если у вас уже есть микро юсб провод и для вас не критична комплектация. За эти деньги сложно найти что-то более достойное.",47,"1","2024-05-27T17:49:02.961450Z",82,7.868,"neutral","2024-05-27T17:49:02.961450Z"
"Если вы не поклонник Lenovo- просто подержите его в руках- вы не захотите с ним расстаться. Неизбитое решение по дизайну, очень громкий звук, огромнейший дисплей, камера 16 Мп. Отличное соотношение цена- качество, но частенько попадаются с проблемами с аккумулятором- тут уж как повезет.",48,"1","2024-05-27T17:49:10.817582Z",83,6.039,"positive","2024-05-27T17:49:10.817582Z"
"Телефон крут и денег своих стоит, я считаю. Две крутые камеры по 13 Мп, 32 гига встроенной памяти и 3 ОЗУ - о чем еще можно мечтать при такой цене?? Плюс много популярных фишек, типа поддержки 4ж, 5 версия Андроид и фирменная оболочка от Асус. Кстати, хорошо продуман интерфейс (разобрался за вечер во всех тонкостях)- тут разработчики ZenUI постарались.Пользоваться - одно удовольствие. А, и кстати, дизайн тут суперский! На фото этот смарт выглядит не так эффектно, как в жизни, когда держишь его в руках. Лежит удобно - поверхность слегка шероховатая, не выскользнет даже, учитывая размер экрана в 5,5 дюймов. Четко продуман и интерфейс - тут разработчики ZenUI постарались.",49,"1","2024-05-27T17:49:18.633356Z",84,6.071,"positive","2024-05-27T17:49:18.633356Z"
"Один из самых доступных и технологичных ""подфлагманов"" на конец 2014. Почти никаких проблем с ним не испытывал.",50,"1","2024-05-27T17:49:27.093391Z",85,6.506,"positive","2024-05-27T17:49:27.093391Z"
"Хороший смартфон,читайте 4PDA всё написано.",51,"1","2024-05-27T17:49:35.192760Z",86,4.488,"positive","2024-05-27T17:49:35.192760Z"
"Отличный аппарат, как навигатор использовать одно удовольствие, несмотря на огромный экран, в руке лежит просто отлично. Модель новая, сложно найти чехол, защитную пленку и т.п. Рекомендую.",52,"1","2024-05-27T17:49:45.285181Z",87,6.878,"positive","2024-05-27T17:49:45.285181Z"
"Муж купил за замену Samsung galaxy s4 mini из-за слабой батареи, ну уж больно быстро разряжалась. Новинка, характеристики отличные, но на деле...Процессор у сони стоит мощней, но по быстродействию уступает самсунгу. Я привыкла, что все открывается моментально, а тут с задержкой и это меня начинает раздражать((..Камера ужас ужасный, видео - даже и представить не могла, что такое качество может быть на современном телефоне...Зато 4 g есть, хотя лично мне на него как-то....И 3g вполне устраивал и ничего не тормозило. Так что не знаю даже....Обычный аппарат. Пользуюсь меньше месяца и особого восторга нет как-то. Когда самсунг заменит батареи непременно поменяю данный телефон).",53,"1","2024-05-27T17:50:02.549101Z",88,11.811,"neutral","2024-05-27T17:50:02.549101Z"
"сравниваю с Samsung Galaxy Star Plus GT-S7262(опыт исп. год).в первый же день использования 318 выявил, что при просмотре контактов не видно где они сохранены(сим 1 или сим 2 или телефон). нужно открыть контакт и тогда будет видно расположение.допустим случайно сохранил номер не туда и забыл перенести. сел телефон. достал сим и поставил в другой телефон. и хрен. ну а когда расположение контактов на виду, больше шансов вовремя заметить и перенести номер куда надо. можно конечно копировать на все сим и телефон одни и те же номера(так и придется делать), но на хрен делать лишние телодвижения так же как и проверять по отдельности место сохранения номеров. может быть есть сторонние приложения, которые решат это неудобство?не всегда с первого раза можно дозвониться на сим 2.(как буд-то не доступен)
на 7262, хоть и медленный, таких проблем не наблюдалось(да и при разговоре слышно хуже в обе стороны, чем 318)правда не обновлял п о. может что-то наладится",54,"1","2024-05-27T17:50:18.752221Z",89,13.996,"negative","2024-05-27T17:50:18.752221Z"
"2 Гб памяти забиваются влёт приложениями. Поудалял всё. В принципе телефон хорош, после Xperia Ray не привычно конечно... основные кнопки сенсорные.",55,"1","2024-05-27T17:50:29.982591Z",90,8.991,"positive","2024-05-27T17:50:29.982591Z"
"Модель отличная.Доволен очень.В качественных наушниках музыку слушать одно удовольствие.Звук отличный.Не тормозит вообще.Очень шустрый.Камера качественная,но желательно редактировать фото после снимка в помещении фоторедактором, для полноценных цветов.Аккумулятора хватает на день при активном пользовании интернета.Игрухи тянет все.Lenovo последнее время радует меня.Дешевле в цене,по отношению с другими известными брендами,типа Самсунга и т.д...Советую брать!!!!",56,"1","2024-05-27T17:50:40.933453Z",91,6.33,"positive","2024-05-27T17:50:40.933453Z"
"Хороший телефон, но не за эти деньги. LG в плане эргономики считаю на более высоком уровне. Продал -  и не жалею.Аппарат для фанатов. Плюсы/минусы описал в сравнении с LG 4Gc, коим долго пользовался. Так вот - ""лыжа"" - для работы и отдыха, сони - больше для имиджа. Разница в цене в 2 раза, а сверхплюсов у соньки не нашёл.",57,"1","2024-05-27T17:50:51.932155Z",92,8.912,"negative","2024-05-27T17:50:51.932155Z"
"У самого был Galaxy s3, он мне очень нравился, но на спорт площадке я его выронил, он сильно пострадал. А вообще у меня самым первым смартфоном был LG p500, присмотрелся к G2, современная начинка, вот и купил. Пользуюсь еще недолго, к оболочке интерфейса уже привык, ничем не хуже галактики. В G2 радует большая емкость акумулятора, мне на 2 дня с запасом хватает. Радует то что цена адекватней конкурентов, тот же пластиковый s4 стоит на 5-10 тыс. дороже. про айфоны и говорить не буду сколько люди за него переплачивают.",58,"1","2024-05-27T17:51:04.439193Z",93,10.424,"positive","2024-05-27T17:51:04.439193Z"
"Продукты этой фирмы фиг когда больше куплю.",59,"1","2024-05-27T17:51:34.270912Z",94,6.804,"negative","2024-05-27T17:51:34.270912Z"
"за такую цену аппарат, очень хорош, все устраивает, аккумулятор держит хорошо даже при активном пользовании интернетом и частыми звонками. В игры особо не играю, так что про них говорить ничего не буду. Аппарат очень нравится",60,"1","2024-05-27T17:51:40.841041Z",95,4.58,"positive","2024-05-27T17:51:40.841041Z"
"Покупкой довольна. Удобный. Быстрый. Разочаровал звук (музыку не слушаю, просто качество мелодий на звонке не нравится).",61,"1","2024-05-27T17:51:46.843501Z",96,4.123,"positive","2024-05-27T17:51:46.843501Z"
"отличный смартфон, до сих пор не вижу необходимости его менять, правда, была бы стабильная прошивка был бы очень рад.",62,"1","2024-05-27T17:51:53.872496Z",97,4.774,"positive","2024-05-27T17:51:53.872496Z"
"Про фронт.камеру писать не буду/это осознанный выбор.
Время покажет был ли я прав в выборе данного девайса.
Покупал за 32990 в белом цвете.",63,"1","2024-05-27T17:52:06.974425Z",98,9.756,"neutral","2024-05-27T17:52:06.974425Z"
"Давно заказав данный аппарат в магазине, все это время сомневался, начитавшись некоторых отзывов счастливых первообладателей. Но, либо я везунчик, либо ""обладатели"" преувеличивают свое обладание, аппарат никак не проявляет недоработок или ошибок. Работает ровно, без глюков.
Перед этим смартфоном были Sony Z5 и Galaxy Note 4.",64,"1","2024-05-27T17:52:16.912790Z",99,7.833,"neutral","2024-05-27T17:52:16.912790Z"
"Пользуюсь больше года и до сих пор он меня только радует. Первый мой телефон в котором я ничего не хочу исправлять. Обычно рут, прошивки и тд. Здесь же всем доволен. Камера хорошая, а в про режиме просто огонь. Компактный, не люблю лопаты. По автономности сеачала были вопросы, но с обновлением на орео стало просто отлично. За день с 5 часов экрана увеличилось до 7. Аж не верилось",65,"1","2024-05-27T17:52:25.244114Z",100,5.026,"positive","2024-05-27T17:52:25.244114Z"
"В свое время был неплохой моделью.",66,"1","2024-05-27T17:52:33.461231Z",101,6.145,"neutral","2024-05-27T17:52:33.461231Z"
"Покупала 1.5 года назад за 6500, т.е не дешево для такой глючной модели. У меня до этого тоже был Fly другой, более старой, модели в 2 раза дешевле, но совершенно лишенный таких глюков, только камера там не очень была, но пользовалась бы до сих пор, если бы не упала на него очень неудачно.",67,"1","2024-05-27T17:52:44.583466Z",102,8.706,"positive","2024-05-27T17:52:44.583466Z"
"В целом, гаджет оставляет только положительные эмоции. Тут самое мощное железо, самый крутой дисплей, великолепная 13мп камера с оптической оптимизацией это все для меня любимого и лучше любого моего прошлого телефона.",68,"1","2024-05-27T17:52:52.496400Z",103,5.17,"positive","2024-05-27T17:52:52.496400Z"
