,Review,sentiment_label
16,"На Windows Phone перешел не сразу. Сначала были комуникаторы на Windows Mobile и Windows CE. Но систему не развивали и я перешел на Apple.  Нам с IPhone было хорошо. Но закрытость системы утомила,  перебрался на андроид. Хорошая система, но то батарею разрядит неожиданно,  то слетит что нибудь, то настройки собьются и конечно перезагрузки без причин. Решился, купил Lumia 535.  Через неделю все настроил под себя, так все и работает. Все-же логика Windows легче воспринимается,  она такая как и на работе , как и дома в ноуте. Как действовать с разными программами, где искать файлы и как слушать музыку папками, сразу после загрузки. Не вызывает трудностей. Использовать новый 640XL оказалось удобно в руке держится отлично! Оптика камеры хороша! Фото отличные. Батарея держит отлично. Греется не сильно,  привык уже за два дня. Переехал быстро, все приложения установились без проблем. Прогресс в играх сохранился! И фото и видео на месте. Цена в 12 000 приемлема. С каждым днем Microsoft телефонов вокруг меня все больше и больше. Это заметно. Удобство использования, интуитивно понятная система. Я доволен. Всем советую!",positive
17,"Стоит брать, свои деньги отрабатывает.опять же оговорюсь что телефон людям БЕЗпантов",positive
18,Все таки Сони делает качественно,neutral
19,"После голого Android'a оболочка EMUI кажется непонятной, но это дело привычки.Как оказалось, челка это не совсем фу, тк её можно скрыть и получается очень даже удобно.Я в целом доволен обновкой.",positive
20,"Шикарный дизайн. По железу никаких претензий, 8 ядер в паре с гигом оперативки работают без тормозов. Очень доволен звучанием динамиков. Две камеры 13 и 5 МП делают достаточно четкие снимки. Радует их расположение на передней части корпуса - когда смотришь видео, звук направлен на тебя! Из недостатков - отсутствие 4G. Но для меня наличие двух сим-карт критичнее. Для тех же, кому нужен LTE, есть версия на одну сим. Замечательный аппарат за свои деньги.",positive
21,"Второй и последний раз, когда приобретаю устройство на базе WP.
 Добротный смартфон, отличный экран и хорошие внутренние характеристики напрочь испорчены одним огромным недостатком - он на операционной системе WP.
 Самое интересное, что полноценно пользоваться предустановленным офисом без наката 10 - у вас врядли получится. Более того, даже созданные на 8.1 файлики могут странным образом отказать в редактировании. После того, как вы обновите свой смартфон с 8.1 до 10 вы с удивлением обнаружите, что батарея стала заметно меньше держать заряд - даже без активного использования прожить смартфон на ""десятке"" больше суток без зарядки не сможет.
 Откровенная бедность магазина приложений. Да, есть куча наиболее популярных программ для соцсетей и... и всё. Найти какой-нибудь аналог андроидовскому MX Player (медиаплеер видеофайлов) так и не удалось и не удивлюсь, если не появится в ближайшие полгода-год. Иначе говоря кроме стандартных видеоформатов вы мало что сможете посмотреть на этом шикарном экране. Стандартный аудиоплеер - эквалайзер вы сможете отыскать в бог знает каком подменю специальных настроек. Если найдете вообще... Аналога офиса нет и не предвидится даже его появление (отсюда следствие - если вы хотели на смартфоне редактировать файлы офиса - обновитесь до десятки и скажите ""Good Bye"" долгоиграющей батарее.)
Если вам звонят во время прослушивания музыки в наушниках, то есть огромная вероятность, что смартфон уйдёт в не очевидную перезагрузку в ближайшую минуту.
 P.S. Не ведитесь на отзывы с оценкой ""5"" с отсутствующими недостатками и надписями, что ""ПРИЛОЖЕНИЯ ЕСТЬ!"". Это промытые культисты или, правильнее сказать, сектанты Windows Phone, которые в упор не видят и не хотят признавать ущербность и малочисленность приложений на этой ОС. Я честно старался отыскать годные и полезные приложения для воспроизведения видео и музыки - их нет. Даже тот же Steam вышел только буквально в августе этого года. Майкам наплевать на пользователей. Жду минусов обзора от сектантов.",neutral
22,"Сначала написал плохой отзыв, но когда произвел сброс настроек - все заработало просто отлично. Поэтому пересмотрел оценку. Короче достойный аппарат - настоящий флагман.",positive
23,"Был экран LG, начал зеленеть примерно через 2 недели. Позвонил на горячую линию, там сразу был пункт ""ДЛЯ ВЛАДЕЛЬЦЕВ МАТЕ 20 ПРО, ПРОБЛЕМА С ЗЕЛЕНЕЮЩИМ ЭКРАНОМ"". Там объяснили что нужно подъехать в ближайший сервис центр для замены экрана. Коробку и чеки не спрашивали, спросили только паспорт. заменили за 1.5 часа без каких либо следов.",negative
24,"Очень непривычно после айфона, что не надо с собой носить розетку и удлинитель. При моём использовании, батареи хватает на 2-3 дня, что очень радует. Достаточно зарядить до 100% и 1 день можно не переживать даже при очень активном использовании. 

В целом, телефоном вполне доволен, учитывая что я его брал за 13000 + 1500 карта памяти на 32 гб. 
Рекомендую, если у вас уже есть микро юсб провод и для вас не критична комплектация. За эти деньги сложно найти что-то более достойное.",neutral
25,"Если вы не поклонник Lenovo- просто подержите его в руках- вы не захотите с ним расстаться. Неизбитое решение по дизайну, очень громкий звук, огромнейший дисплей, камера 16 Мп. Отличное соотношение цена- качество, но частенько попадаются с проблемами с аккумулятором- тут уж как повезет.",positive
26,"Телефон крут и денег своих стоит, я считаю. Две крутые камеры по 13 Мп, 32 гига встроенной памяти и 3 ОЗУ - о чем еще можно мечтать при такой цене?? Плюс много популярных фишек, типа поддержки 4ж, 5 версия Андроид и фирменная оболочка от Асус. Кстати, хорошо продуман интерфейс (разобрался за вечер во всех тонкостях)- тут разработчики ZenUI постарались.Пользоваться - одно удовольствие. А, и кстати, дизайн тут суперский! На фото этот смарт выглядит не так эффектно, как в жизни, когда держишь его в руках. Лежит удобно - поверхность слегка шероховатая, не выскользнет даже, учитывая размер экрана в 5,5 дюймов. Четко продуман и интерфейс - тут разработчики ZenUI постарались.",positive
27,"Один из самых доступных и технологичных ""подфлагманов"" на конец 2014. Почти никаких проблем с ним не испытывал.",positive
28,"Хороший смартфон,читайте 4PDA всё написано.",positive
29,"Отличный аппарат, как навигатор использовать одно удовольствие, несмотря на огромный экран, в руке лежит просто отлично. Модель новая, сложно найти чехол, защитную пленку и т.п. Рекомендую.",positive
30,"Муж купил за замену Samsung galaxy s4 mini из-за слабой батареи, ну уж больно быстро разряжалась. Новинка, характеристики отличные, но на деле...Процессор у сони стоит мощней, но по быстродействию уступает самсунгу. Я привыкла, что все открывается моментально, а тут с задержкой и это меня начинает раздражать((..Камера ужас ужасный, видео - даже и представить не могла, что такое качество может быть на современном телефоне...Зато 4 g есть, хотя лично мне на него как-то....И 3g вполне устраивал и ничего не тормозило. Так что не знаю даже....Обычный аппарат. Пользуюсь меньше месяца и особого восторга нет как-то. Когда самсунг заменит батареи непременно поменяю данный телефон).",neutral
31,"сравниваю с Samsung Galaxy Star Plus GT-S7262(опыт исп. год).в первый же день использования 318 выявил, что при просмотре контактов не видно где они сохранены(сим 1 или сим 2 или телефон). нужно открыть контакт и тогда будет видно расположение.допустим случайно сохранил номер не туда и забыл перенести. сел телефон. достал сим и поставил в другой телефон. и хрен. ну а когда расположение контактов на виду, больше шансов вовремя заметить и перенести номер куда надо. можно конечно копировать на все сим и телефон одни и те же номера(так и придется делать), но на хрен делать лишние телодвижения так же как и проверять по отдельности место сохранения номеров. может быть есть сторонние приложения, которые решат это неудобство?не всегда с первого раза можно дозвониться на сим 2.(как буд-то не доступен)
на 7262, хоть и медленный, таких проблем не наблюдалось(да и при разговоре слышно хуже в обе стороны, чем 318)правда не обновлял п о. может что-то наладится",negative
32,"2 Гб памяти забиваются влёт приложениями. Поудалял всё. В принципе телефон хорош, после Xperia Ray не привычно конечно... основные кнопки сенсорные.",positive
33,"Модель отличная.Доволен очень.В качественных наушниках музыку слушать одно удовольствие.Звук отличный.Не тормозит вообще.Очень шустрый.Камера качественная,но желательно редактировать фото после снимка в помещении фоторедактором, для полноценных цветов.Аккумулятора хватает на день при активном пользовании интернета.Игрухи тянет все.Lenovo последнее время радует меня.Дешевле в цене,по отношению с другими известными брендами,типа Самсунга и т.д...Советую брать!!!!",positive
34,"Хороший телефон, но не за эти деньги. LG в плане эргономики считаю на более высоком уровне. Продал -  и не жалею.Аппарат для фанатов. Плюсы/минусы описал в сравнении с LG 4Gc, коим долго пользовался. Так вот - ""лыжа"" - для работы и отдыха, сони - больше для имиджа. Разница в цене в 2 раза, а сверхплюсов у соньки не нашёл.",negative
35,"У самого был Galaxy s3, он мне очень нравился, но на спорт площадке я его выронил, он сильно пострадал. А вообще у меня самым первым смартфоном был LG p500, присмотрелся к G2, современная начинка, вот и купил. Пользуюсь еще недолго, к оболочке интерфейса уже привык, ничем не хуже галактики. В G2 радует большая емкость акумулятора, мне на 2 дня с запасом хватает. Радует то что цена адекватней конкурентов, тот же пластиковый s4 стоит на 5-10 тыс. дороже. про айфоны и говорить не буду сколько люди за него переплачивают.",positive
36,Продукты этой фирмы фиг когда больше куплю.,negative
37,"за такую цену аппарат, очень хорош, все устраивает, аккумулятор держит хорошо даже при активном пользовании интернетом и частыми звонками. В игры особо не играю, так что про них говорить ничего не буду. Аппарат очень нравится",positive
38,"Покупкой довольна. Удобный. Быстрый. Разочаровал звук (музыку не слушаю, просто качество мелодий на звонке не нравится).",positive
39,"отличный смартфон, до сих пор не вижу необходимости его менять, правда, была бы стабильная прошивка был бы очень рад.",positive
40,"Про фронт.камеру писать не буду/это осознанный выбор.
Время покажет был ли я прав в выборе данного девайса.
Покупал за 32990 в белом цвете.",neutral
41,"Давно заказав данный аппарат в магазине, все это время сомневался, начитавшись некоторых отзывов счастливых первообладателей. Но, либо я везунчик, либо ""обладатели"" преувеличивают свое обладание, аппарат никак не проявляет недоработок или ошибок. Работает ровно, без глюков.
Перед этим смартфоном были Sony Z5 и Galaxy Note 4.",neutral
42,"Пользуюсь больше года и до сих пор он меня только радует. Первый мой телефон в котором я ничего не хочу исправлять. Обычно рут, прошивки и тд. Здесь же всем доволен. Камера хорошая, а в про режиме просто огонь. Компактный, не люблю лопаты. По автономности сеачала были вопросы, но с обновлением на орео стало просто отлично. За день с 5 часов экрана увеличилось до 7. Аж не верилось",positive
43,В свое время был неплохой моделью.,neutral
44,"Покупала 1.5 года назад за 6500, т.е не дешево для такой глючной модели. У меня до этого тоже был Fly другой, более старой, модели в 2 раза дешевле, но совершенно лишенный таких глюков, только камера там не очень была, но пользовалась бы до сих пор, если бы не упала на него очень неудачно.",positive
45,"В целом, гаджет оставляет только положительные эмоции. Тут самое мощное железо, самый крутой дисплей, великолепная 13мп камера с оптической оптимизацией это все для меня любимого и лучше любого моего прошлого телефона.",positive
1550,Не советую этот телефон.,neutral
4400,"Вышел Android 5.1.1 (сборка 18.6.A.0.175). Немного странновато работает. Точнее при выборе абонента из тел. книги надо нажимать по несколько раз, или ждать после двух разового тыкания меню вызова, и сейчас батарейка держит 1 день а при версий  4.4.4 при активном использовании батарея держала 1,5-2 дня. Для установки требует минимум 1,2Gb свободного пространства.",positive
2846,"Жду того момента, когда куплю новую трубку и выброшу этот телефон. Наихудшая модель, которую я когда-либо пользовала. Детально:
1. Аккумулятор - мусор.
2. Скорость реагирования на нажатие клавиш - полвечности. Я по 40 секунд жду, когда вылезет клавиатура, чтобы запрос напечатать в строке браузера!
3. Более одного приложения открыто - мгновенное зависание. Выход - выключение через снятие крышки и вытаскивания аккумулятора. Иначе будешь сидеть над ним 10 минут и материться сквозь зубы.
4. Как тут уже писали - при входящих звонках по минуте не включается экран. Тупо сидишь, слушаешь музыку и не можешь принять звонок. Бесит!!!
5. Перестала разговаривать без гарнитуры, потому что без нее экран начинает включать-выключать всякую ерунду, набирать другие номера, открывать приложения и т.п. Сначала думала, я ухом задеваю. Нет! Вот такой плохой телефон просто.
 Получила телефон в подарок. Жаль, что даривший не прочитал отзывы по модели. Категорически не рекомендую!!!",positive
584,"Аппарат классный. Спрыгнул на него с пятого Айфона. Очень высокое качество исполнения, сделано в Корее, а не в Китае. За два месяца использования ни одного глюка.
Пришлось отдать жене, т.к. ее телефон я сломал. Себе купил Lg g3s, так вот теперь такое ощущение, что пересел с оригинала на китайскую подделку. 
Жаль, что G2 больше не производят, за свои деньги (я покупал в ноябре за 16000) лучше не найдете.",positive
2339,"Самый худший телефон, который у меня был!!!!!",negative
2213,"В 2 магазинах мне предложили сделать выбор в пользу этого телефона за сумму в пределах 10.000 рублей, купил в декабре 2014 за 8900 р. Вот уже пол года он мой, в чехле он меня полностью устраивает.",positive
3275,Телефоном доволен.,neutral
4124,"не буду описывать все плюсы этого телефона,а просто их перечеркну.
экран царапается на раз.
плотная сборка-крышку не снять без образования трещин на ней. батарея хорошая,но она весит очень много и в итоге остается тупо звонилка,невероятных размеров и веса.
от whatsapp телефон перегревается через полчаса активного пользования(и это зимой). а сегодня начал вырубаться при попытке сделать панораму. ну что это за телефон такой! вообще ничего делать не хочет. никому не советую. кал редкий. бесит он меня(",positive
4071,"Порадовала возможность отключения фоновых приложений (чего на андроиде без рута сделать нельзя) и полного переноса всех приложений и  файлов на sd. За свои деньги, отличный смартфон. Правда, после андроида, все же потребуется некоторое время, чтобы к нему привыкнуть, и разобраться, что к чему. Отключил все фоновые процессы, батарейки легко хватает на 2-3 дня (1 очень активного использования).Рекомендую сразу брать к нему чехол, корпус сильно царапается. Поменял карту памяти, проблема с вкл. дисплея при скачивании/переносе приложений ушла. Проблема была в карте памяти - низкая скорость считывания и записи (4 класс), проставил 10 класс, все отлично, быстро работает.",positive
354,В сравнении с андроид телефонами звук никакой. Любителям качественной музыки однозначно не подойдет.,neutral
3466,"Если телефон для ""просто позвонить и сфоткать"", то в самый раз! Мне мощный телефон не нужен так как есть ipad и комп. Бывает , что лагает временами, но это не так часто и важно.",positive
3922,Задняя крышка без чехла за месяц превратилась в наждачку.,neutral
842,"Телефон выбирал на замену умершему LG optimus black.Хотелось не большой экран-не более 4,3 дюймов.Но изучив ассортимент ничего путного не нашел.Младшие братья флагманов с индексом мини не блистали характеристиками при немалой стоимости.Решил смотреть аппараты с экраном по-больше.Выбор оказался не велик.По мои запросы подходили разве что SGS 4,LG G2 и Nexus5.В самсунге не понравился экран,в нексусе голый андройд(смотрится более чем уныло и мало настроек).Остался LG.Пересмотрев море обзоров и перечитав кучу отзывов решился на покупку,о  чем ни сколько не жалею.
Добавляю после месяца использования.Положительные впечатления не покидают.Не много расстроила камера-как пишут во многих обзорах есть проблема фокусировки при съемке видео.Появились царапинки на окошке камеры.Опять же пишут,что это не стекло царапается,а просветляющее покрытие.
К кнопкам на ""спине"" привык.Теперь беря другой телефон в руки по привычке тапаю по экрану для разблокировки.Все таки это мегаудобная функция.
И обязательно наличие какого-нибудь бампера или чехла.Телефон так и норовит выскользнуть из рук.
На удивление отказался от сторонних клавиатур,браузеров,календарей.Только звонилку сменил-стандартная при входе в нее открывается всегда на вкладке номеронабирателя,а не журнала звонков.",positive
1164,"Телефон очень понравился. Не смотря на то, что в итоге он не протянул и двух лет ловлю себя на мысли, что, вопреки здравому смыслу, купила бы его ещё раз))) Думаю, что попытаю счастья с другой сонькой...",neutral
1222,В целом телефоном доволен.,neutral
4556,"За такие деньги , такой смартфон это просто   "" Best Phone ! "" Мне нравится телефон ставлю 4+ , но четвёрка за то , что нету передней камеры , а это для меня очень плохо так как я очень люблю делать ""selfie"" , но всё же как - то получается !",positive
598,"Вообще аппарат радует. Тормозов никаких. Экран чёткий. Камера вышка. Радует быстродействие.  Все тяжелые игры на максимальных летают. Ну и должен про разблокировку сказать - отлично. Бывает, что разрабатывает с первого раза двойной тап. Кнопки громкости удобны и не думайте даже по поводу них.. Вроде всё)и еще вопрос у меня у одного не подходят наушники от других телефонов. ну музыку воспроизводит исправно стоит чуть шевельнуть у гнезда и отходит..",positive
4281,"Почему выставляю оценку 5 баллов - ну во-первых модель недорогая (покупал за 17000 ещё когда) при том что по своему времени да и сейчас достаточно мощный смартфон (выполняет все нужные функции). Плюс был момент - уронил в Балтийское море, так он оклемался, даже после солёной воды всё работало отлично, так что можно смело писать водонепроницаемый, хотя думаю просто повезло))",positive
561,"Брал эту лопату больше как игрушку-помощника, и уж никак ни как телефон. Поэтому качество антенны, удобства использования не могу оценить. Из плюшек понравился виртуальный вай-фай диск для связи копьютера со смартфоном. А так же понравилась активация экрана тройным щелчком по экрану и не надо переворачивать телефон для нажатия кнопки. Первые впечатления неплохие. Я не любитель массивных чехлов-книжек, кленок и прочего защитного шлака, но тут пришлось купить nillkin бампер, очень уж глянцевый он сзади и мешает кнопки на спине лежанию смартфона на столе. Перекатывается с бока на бок. С ниллкином все ок. Пленку не клеил, не тру. Таскаю в сумке в кожаном футляре. Есть еще htc mini у жены, сравнивал экраны - сливает. У lg лучше, по ощущениям как неплохой десктопный ips моник. Но одно преимущество я таки нашел у htc - к нему можно по OTG кабелю подключить айпод, а к lg нельзя - не видит, хотя флешки, hdd, мышки - видит прекрасно.",positive
2312,впечатления в принципе хорошие. выглядит стильно.сравниваю с сони. меню на мой взгляд организованно лучше чем там. но при всех показателях операционка на мой взгляд слабее. экран лучше. стекло шикарное. и немного тоньше.  на коленку положить нельзя. сползает очень быстро. для водонипроницаемости пришлось купить специальный чехол. а так. когда на море не езжу. пользуюсь без него.,neutral
